"","ArrivalDate","n"
"1",2014-01-01,18
"2",2014-01-02,11
"3",2014-01-03,12
"4",2014-01-04,14
"5",2014-01-05,24
"6",2014-01-06,10
"7",2014-01-07,9
"8",2014-01-08,4
"9",2014-01-09,5
"10",2014-01-10,11
"11",2014-01-11,10
"12",2014-01-12,12
"13",2014-01-13,11
"14",2014-01-14,7
"15",2014-01-15,7
"16",2014-01-16,5
"17",2014-01-17,7
"18",2014-01-18,16
"19",2014-01-19,13
"20",2014-01-20,13
"21",2014-01-21,9
"22",2014-01-22,12
"23",2014-01-23,8
"24",2014-01-24,3
"25",2014-01-25,10
"26",2014-01-26,14
"27",2014-01-27,9
"28",2014-01-28,3
"29",2014-01-29,13
"30",2014-01-30,5
"31",2014-01-31,5
"32",2014-02-01,21
"33",2014-02-02,15
"34",2014-02-03,13
"35",2014-02-04,8
"36",2014-02-05,3
"37",2014-02-06,10
"38",2014-02-07,5
"39",2014-02-08,11
"40",2014-02-09,14
"41",2014-02-10,7
"42",2014-02-11,9
"43",2014-02-12,4
"44",2014-02-13,5
"45",2014-02-14,9
"46",2014-02-15,15
"47",2014-02-16,16
"48",2014-02-17,12
"49",2014-02-18,9
"50",2014-02-19,8
"51",2014-02-20,3
"52",2014-02-21,10
"53",2014-02-22,14
"54",2014-02-23,17
"55",2014-02-24,14
"56",2014-02-25,16
"57",2014-02-26,11
"58",2014-02-27,5
"59",2014-02-28,10
"60",2014-03-01,16
"61",2014-03-02,14
"62",2014-03-03,6
"63",2014-03-04,10
"64",2014-03-05,10
"65",2014-03-06,9
"66",2014-03-07,9
"67",2014-03-08,13
"68",2014-03-09,18
"69",2014-03-10,12
"70",2014-03-11,10
"71",2014-03-12,6
"72",2014-03-13,17
"73",2014-03-14,13
"74",2014-03-15,13
"75",2014-03-16,13
"76",2014-03-17,9
"77",2014-03-18,10
"78",2014-03-19,7
"79",2014-03-20,11
"80",2014-03-21,9
"81",2014-03-22,17
"82",2014-03-23,15
"83",2014-03-24,6
"84",2014-03-25,10
"85",2014-03-26,6
"86",2014-03-27,6
"87",2014-03-28,8
"88",2014-03-29,16
"89",2014-03-30,29
"90",2014-03-31,8
"91",2014-04-01,3
"92",2014-04-02,7
"93",2014-04-03,15
"94",2014-04-04,5
"95",2014-04-05,14
"96",2014-04-06,19
"97",2014-04-07,10
"98",2014-04-08,8
"99",2014-04-09,9
"100",2014-04-10,10
"101",2014-04-11,8
"102",2014-04-12,10
"103",2014-04-13,11
"104",2014-04-14,3
"105",2014-04-15,4
"106",2014-04-16,7
"107",2014-04-17,4
"108",2014-04-18,7
"109",2014-04-19,28
"110",2014-04-20,17
"111",2014-04-21,9
"112",2014-04-22,5
"113",2014-04-23,7
"114",2014-04-24,12
"115",2014-04-25,7
"116",2014-04-26,12
"117",2014-04-27,12
"118",2014-04-28,6
"119",2014-04-29,6
"120",2014-04-30,13
"121",2014-05-01,8
"122",2014-05-02,4
"123",2014-05-03,11
"124",2014-05-04,18
"125",2014-05-05,15
"126",2014-05-06,5
"127",2014-05-07,5
"128",2014-05-08,4
"129",2014-05-09,7
"130",2014-05-10,13
"131",2014-05-11,10
"132",2014-05-12,5
"133",2014-05-13,9
"134",2014-05-14,12
"135",2014-05-15,1
"136",2014-05-16,6
"137",2014-05-17,15
"138",2014-05-18,11
"139",2014-05-19,13
"140",2014-05-20,9
"141",2014-05-21,9
"142",2014-05-22,8
"143",2014-05-23,15
"144",2014-05-24,9
"145",2014-05-25,10
"146",2014-05-26,18
"147",2014-05-27,11
"148",2014-05-28,6
"149",2014-05-29,11
"150",2014-05-30,5
"151",2014-05-31,19
"152",2014-06-01,20
"153",2014-06-02,13
"154",2014-06-03,17
"155",2014-06-04,4
"156",2014-06-05,5
"157",2014-06-06,10
"158",2014-06-07,16
"159",2014-06-08,13
"160",2014-06-09,13
"161",2014-06-10,7
"162",2014-06-11,7
"163",2014-06-12,5
"164",2014-06-13,8
"165",2014-06-14,13
"166",2014-06-15,19
"167",2014-06-16,8
"168",2014-06-17,12
"169",2014-06-18,12
"170",2014-06-19,9
"171",2014-06-20,9
"172",2014-06-21,14
"173",2014-06-22,17
"174",2014-06-23,7
"175",2014-06-24,6
"176",2014-06-25,7
"177",2014-06-26,7
"178",2014-06-27,5
"179",2014-06-28,11
"180",2014-06-29,22
"181",2014-06-30,7
"182",2014-07-01,15
"183",2014-07-02,10
"184",2014-07-03,9
"185",2014-07-04,7
"186",2014-07-05,15
"187",2014-07-06,18
"188",2014-07-07,19
"189",2014-07-08,9
"190",2014-07-09,8
"191",2014-07-10,15
"192",2014-07-11,14
"193",2014-07-12,12
"194",2014-07-13,22
"195",2014-07-14,14
"196",2014-07-15,13
"197",2014-07-16,10
"198",2014-07-17,15
"199",2014-07-18,9
"200",2014-07-19,20
"201",2014-07-20,7
"202",2014-07-21,10
"203",2014-07-22,15
"204",2014-07-23,16
"205",2014-07-24,6
"206",2014-07-25,9
"207",2014-07-26,11
"208",2014-07-27,17
"209",2014-07-28,5
"210",2014-07-29,16
"211",2014-07-30,10
"212",2014-07-31,5
"213",2014-08-01,13
"214",2014-08-02,14
"215",2014-08-03,21
"216",2014-08-04,16
"217",2014-08-05,8
"218",2014-08-06,13
"219",2014-08-07,11
"220",2014-08-08,9
"221",2014-08-09,12
"222",2014-08-10,16
"223",2014-08-11,15
"224",2014-08-12,11
"225",2014-08-13,14
"226",2014-08-14,3
"227",2014-08-15,2
"228",2014-08-16,15
"229",2014-08-17,26
"230",2014-08-18,16
"231",2014-08-19,18
"232",2014-08-20,11
"233",2014-08-21,11
"234",2014-08-22,15
"235",2014-08-23,16
"236",2014-08-24,16
"237",2014-08-25,17
"238",2014-08-26,10
"239",2014-08-27,7
"240",2014-08-28,10
"241",2014-08-29,10
"242",2014-08-30,27
"243",2014-08-31,18
"244",2014-09-01,13
"245",2014-09-02,13
"246",2014-09-03,8
"247",2014-09-04,9
"248",2014-09-05,11
"249",2014-09-06,10
"250",2014-09-07,21
"251",2014-09-08,17
"252",2014-09-09,14
"253",2014-09-10,14
"254",2014-09-11,11
"255",2014-09-12,12
"256",2014-09-13,16
"257",2014-09-14,15
"258",2014-09-15,3
"259",2014-09-16,6
"260",2014-09-17,9
"261",2014-09-18,8
"262",2014-09-19,5
"263",2014-09-20,14
"264",2014-09-21,15
"265",2014-09-22,12
"266",2014-09-23,8
"267",2014-09-24,14
"268",2014-09-25,4
"269",2014-09-26,7
"270",2014-09-27,28
"271",2014-09-28,10
"272",2014-09-29,15
"273",2014-09-30,3
"274",2014-10-01,5
"275",2014-10-02,3
"276",2014-10-03,9
"277",2014-10-04,7
"278",2014-10-05,14
"279",2014-10-06,6
"280",2014-10-07,8
"281",2014-10-08,10
"282",2014-10-09,7
"283",2014-10-10,17
"284",2014-10-11,17
"285",2014-10-12,25
"286",2014-10-13,13
"287",2014-10-14,10
"288",2014-10-15,3
"289",2014-10-16,1
"290",2014-10-17,4
"291",2014-10-18,25
"292",2014-10-19,27
"293",2014-10-20,21
"294",2014-10-21,6
"295",2014-10-22,10
"296",2014-10-23,11
"297",2014-10-24,5
"298",2014-10-25,12
"299",2014-10-26,16
"300",2014-10-27,6
"301",2014-10-28,3
"302",2014-10-29,7
"303",2014-10-30,8
"304",2014-10-31,5
"305",2014-11-01,10
"306",2014-11-02,15
"307",2014-11-03,10
"308",2014-11-04,8
"309",2014-11-05,7
"310",2014-11-06,6
"311",2014-11-07,4
"312",2014-11-08,12
"313",2014-11-09,12
"314",2014-11-10,7
"315",2014-11-11,3
"316",2014-11-12,12
"317",2014-11-13,8
"318",2014-11-14,7
"319",2014-11-15,10
"320",2014-11-16,9
"321",2014-11-17,7
"322",2014-11-18,10
"323",2014-11-19,7
"324",2014-11-20,5
"325",2014-11-21,15
"326",2014-11-22,8
"327",2014-11-23,19
"328",2014-11-24,9
"329",2014-11-25,9
"330",2014-11-26,14
"331",2014-11-28,13
"332",2014-11-29,21
"333",2014-11-30,16
"334",2014-12-01,9
"335",2014-12-02,11
"336",2014-12-03,5
"337",2014-12-04,7
"338",2014-12-05,13
"339",2014-12-06,34
"340",2014-12-07,32
"341",2014-12-08,19
"342",2014-12-09,13
"343",2014-12-10,4
"344",2014-12-11,12
"345",2014-12-12,6
"346",2014-12-13,16
"347",2014-12-14,9
"348",2014-12-15,12
"349",2014-12-16,8
"350",2014-12-17,12
"351",2014-12-18,11
"352",2014-12-19,13
"353",2014-12-20,14
"354",2014-12-21,7
"355",2014-12-22,10
"356",2014-12-23,10
"357",2014-12-24,9
"358",2014-12-26,7
"359",2014-12-27,17
"360",2014-12-28,13
"361",2014-12-29,9
"362",2014-12-30,12
"363",2014-12-31,15
"364",2015-01-01,16
"365",2015-01-02,13
"366",2015-01-03,19
"367",2015-01-04,15
"368",2015-01-05,11
"369",2015-01-06,9
"370",2015-01-07,9
"371",2015-01-08,5
"372",2015-01-09,6
"373",2015-01-10,11
"374",2015-01-11,14
"375",2015-01-12,15
"376",2015-01-13,2
"377",2015-01-14,6
"378",2015-01-15,7
"379",2015-01-16,8
"380",2015-01-17,18
"381",2015-01-18,24
"382",2015-01-19,22
"383",2015-01-20,8
"384",2015-01-21,11
"385",2015-01-22,5
"386",2015-01-23,7
"387",2015-01-24,11
"388",2015-01-25,13
"389",2015-01-26,15
"390",2015-01-27,11
"391",2015-01-28,6
"392",2015-01-29,6
"393",2015-01-30,10
"394",2015-01-31,21
"395",2015-02-01,16
"396",2015-02-02,13
"397",2015-02-03,7
"398",2015-02-04,16
"399",2015-02-05,11
"400",2015-02-06,6
"401",2015-02-07,14
"402",2015-02-08,22
"403",2015-02-09,10
"404",2015-02-10,12
"405",2015-02-11,7
"406",2015-02-12,18
"407",2015-02-13,7
"408",2015-02-14,19
"409",2015-02-15,18
"410",2015-02-16,12
"411",2015-02-17,12
"412",2015-02-18,8
"413",2015-02-19,8
"414",2015-02-20,11
"415",2015-02-21,18
"416",2015-02-22,15
"417",2015-02-23,13
"418",2015-02-24,5
"419",2015-02-25,8
"420",2015-02-26,5
"421",2015-02-27,13
"422",2015-02-28,12
"423",2015-03-01,19
"424",2015-03-02,12
"425",2015-03-03,8
"426",2015-03-04,8
"427",2015-03-05,3
"428",2015-03-06,4
"429",2015-03-07,14
"430",2015-03-08,16
"431",2015-03-09,13
"432",2015-03-10,10
"433",2015-03-11,6
"434",2015-03-12,5
"435",2015-03-13,9
"436",2015-03-14,29
"437",2015-03-15,22
"438",2015-03-16,9
"439",2015-03-17,9
"440",2015-03-18,7
"441",2015-03-19,5
"442",2015-03-20,11
"443",2015-03-21,15
"444",2015-03-22,15
"445",2015-03-23,10
"446",2015-03-24,9
"447",2015-03-25,9
"448",2015-03-26,7
"449",2015-03-27,10
"450",2015-03-28,13
"451",2015-03-29,16
"452",2015-03-30,15
"453",2015-03-31,5
"454",2015-04-01,8
"455",2015-04-02,10
"456",2015-04-03,11
"457",2015-04-04,19
"458",2015-04-05,20
"459",2015-04-06,15
"460",2015-04-07,9
"461",2015-04-08,8
"462",2015-04-09,8
"463",2015-04-10,5
"464",2015-04-11,13
"465",2015-04-12,9
"466",2015-04-13,10
"467",2015-04-14,6
"468",2015-04-15,4
"469",2015-04-16,4
"470",2015-04-17,9
"471",2015-04-18,12
"472",2015-04-19,16
"473",2015-04-20,4
"474",2015-04-21,12
"475",2015-04-22,10
"476",2015-04-23,4
"477",2015-04-24,3
"478",2015-04-25,13
"479",2015-04-26,12
"480",2015-04-27,9
"481",2015-04-28,10
"482",2015-04-29,9
"483",2015-04-30,12
"484",2015-05-01,3
"485",2015-05-02,19
"486",2015-05-03,27
"487",2015-05-04,11
"488",2015-05-05,19
"489",2015-05-06,7
"490",2015-05-07,4
"491",2015-05-08,16
"492",2015-05-09,16
"493",2015-05-10,24
"494",2015-05-11,8
"495",2015-05-12,3
"496",2015-05-13,4
"497",2015-05-14,7
"498",2015-05-15,6
"499",2015-05-16,13
"500",2015-05-17,12
"501",2015-05-18,11
"502",2015-05-19,9
"503",2015-05-20,8
"504",2015-05-21,13
"505",2015-05-22,11
"506",2015-05-23,22
"507",2015-05-24,20
"508",2015-05-25,28
"509",2015-05-26,12
"510",2015-05-27,13
"511",2015-05-28,8
"512",2015-05-29,11
"513",2015-05-30,11
"514",2015-05-31,16
"515",2015-06-01,16
"516",2015-06-02,5
"517",2015-06-03,7
"518",2015-06-04,9
"519",2015-06-05,7
"520",2015-06-06,12
"521",2015-06-07,32
"522",2015-06-08,10
"523",2015-06-09,12
"524",2015-06-10,8
"525",2015-06-11,15
"526",2015-06-12,11
"527",2015-06-13,11
"528",2015-06-14,13
"529",2015-06-15,13
"530",2015-06-16,7
"531",2015-06-17,7
"532",2015-06-18,6
"533",2015-06-19,10
"534",2015-06-20,16
"535",2015-06-21,17
"536",2015-06-22,8
"537",2015-06-23,12
"538",2015-06-24,11
"539",2015-06-25,8
"540",2015-06-26,10
"541",2015-06-27,13
"542",2015-06-28,22
"543",2015-06-29,13
"544",2015-06-30,9
"545",2015-07-01,13
"546",2015-07-02,12
"547",2015-07-03,13
"548",2015-07-04,7
"549",2015-07-05,23
"550",2015-07-06,12
"551",2015-07-07,9
"552",2015-07-08,12
"553",2015-07-09,13
"554",2015-07-10,8
"555",2015-07-11,12
"556",2015-07-12,12
"557",2015-07-13,11
"558",2015-07-14,7
"559",2015-07-15,10
"560",2015-07-16,6
"561",2015-07-17,13
"562",2015-07-18,10
"563",2015-07-19,12
"564",2015-07-20,10
"565",2015-07-21,11
"566",2015-07-22,11
"567",2015-07-23,11
"568",2015-07-24,10
"569",2015-07-25,14
"570",2015-07-26,17
"571",2015-07-27,12
"572",2015-07-28,11
"573",2015-07-29,7
"574",2015-07-30,5
"575",2015-07-31,14
"576",2015-08-01,19
"577",2015-08-02,21
"578",2015-08-03,7
"579",2015-08-04,9
"580",2015-08-05,6
"581",2015-08-06,8
"582",2015-08-07,10
"583",2015-08-08,18
"584",2015-08-09,20
"585",2015-08-10,10
"586",2015-08-11,8
"587",2015-08-12,8
"588",2015-08-13,12
"589",2015-08-14,7
"590",2015-08-15,10
"591",2015-08-16,15
"592",2015-08-17,8
"593",2015-08-18,8
"594",2015-08-19,7
"595",2015-08-20,9
"596",2015-08-21,8
"597",2015-08-22,11
"598",2015-08-23,15
"599",2015-08-24,13
"600",2015-08-25,7
"601",2015-08-26,13
"602",2015-08-27,7
"603",2015-08-28,9
"604",2015-08-29,17
"605",2015-08-30,13
"606",2015-08-31,13
"607",2015-09-01,9
"608",2015-09-02,6
"609",2015-09-03,6
"610",2015-09-04,9
"611",2015-09-05,11
"612",2015-09-06,16
"613",2015-09-07,19
"614",2015-09-08,12
"615",2015-09-09,9
"616",2015-09-10,9
"617",2015-09-11,10
"618",2015-09-12,14
"619",2015-09-13,24
"620",2015-09-14,4
"621",2015-09-15,5
"622",2015-09-16,8
"623",2015-09-17,14
"624",2015-09-18,9
"625",2015-09-19,19
"626",2015-09-20,16
"627",2015-09-21,10
"628",2015-09-22,10
"629",2015-09-23,10
"630",2015-09-24,9
"631",2015-09-25,6
"632",2015-09-26,7
"633",2015-09-27,14
"634",2015-09-28,7
"635",2015-09-29,6
"636",2015-09-30,8
"637",2015-10-01,4
"638",2015-10-02,7
"639",2015-10-03,6
"640",2015-10-04,16
"641",2015-10-05,8
"642",2015-10-06,9
"643",2015-10-07,7
"644",2015-10-08,5
"645",2015-10-09,8
"646",2015-10-10,14
"647",2015-10-11,18
"648",2015-10-12,14
"649",2015-10-13,9
"650",2015-10-14,5
"651",2015-10-15,4
"652",2015-10-16,9
"653",2015-10-17,23
"654",2015-10-18,29
"655",2015-10-19,13
"656",2015-10-20,7
"657",2015-10-21,7
"658",2015-10-22,8
"659",2015-10-23,7
"660",2015-10-24,14
"661",2015-10-25,14
"662",2015-10-26,3
"663",2015-10-27,6
"664",2015-10-28,6
"665",2015-10-29,11
"666",2015-10-30,1
"667",2015-10-31,16
"668",2015-11-01,9
"669",2015-11-02,1
"670",2015-11-03,8
"671",2015-11-04,8
"672",2015-11-05,10
"673",2015-11-06,4
"674",2015-11-07,13
"675",2015-11-08,15
"676",2015-11-09,8
"677",2015-11-10,8
"678",2015-11-11,7
"679",2015-11-12,9
"680",2015-11-13,7
"681",2015-11-14,13
"682",2015-11-15,16
"683",2015-11-16,2
"684",2015-11-17,13
"685",2015-11-18,9
"686",2015-11-19,9
"687",2015-11-20,12
"688",2015-11-21,17
"689",2015-11-22,17
