"","Breed","freq"
"1125","Pit Bull Mix",2663
"896","Labrador Retriever Mix",2621
"496","Chihuahua Shorthair Mix",2390
"734","German Shepherd Mix",1151
"80","Australian Cattle Dog Mix",635
"610","Dachshund Mix",408
"289","Border Collie Mix",386
"343","Boxer Mix",341
"446","Catahoula Mix",289
"1354","Staffordshire Mix",278
"1025","Miniature Poodle Mix",267
"1315","Siberian Husky Mix",241
"403","Cairn Terrier Mix",231
"1235","Rat Terrier Mix",231
"1178","Pointer Mix",230
"861","Jack Russell Terrier Mix",221
"136","Australian Shepherd Mix",220
"733","German Shepherd",219
"479","Chihuahua Longhair Mix",210
"895","Labrador Retriever",209
"495","Chihuahua Shorthair",208
"64","Anatol Shepherd Mix",206
"1041","Miniature Schnauzer Mix",200
"1451","Yorkshire Terrier Mix",200
