,OutcomeType,SexUponOutcome,Breed,Color,Age
1,0,Intact Male,Chihuahua Shorthair/Dachshund,Brown,0.25
2,0,Intact Male,Chihuahua Shorthair/Dachshund,White,0.25
3,0,Intact Female,Chihuahua Shorthair/Dachshund,White,0.25
4,0,Intact Female,Chihuahua Shorthair/Dachshund,Tan/White,0.25
5,0,Intact Female,Chihuahua Shorthair/Dachshund,Tan,0.25
6,0,Intact Female,Chihuahua Shorthair/Dachshund,Brown/White,0.25
7,0,Unknown,Great Pyrenees Mix,White,0.25
8,0,Intact Male,Boxer Mix,White,0.25
9,0,Intact Female,Boxer Mix,Brown,0.25
10,0,Intact Female,Boxer Mix,White/Tan,0.25
11,0,Unknown,Labrador Retriever Mix,Brown,0.25
12,0,Unknown,Labrador Retriever Mix,Brown,0.25
13,0,Unknown,Labrador Retriever Mix,Brown,0.25
14,0,Unknown,Labrador Retriever Mix,Brown,0.25
15,0,Unknown,Labrador Retriever Mix,Brown,0.25
16,0,Unknown,Labrador Retriever Mix,Brown,0.25
17,0,Unknown,Labrador Retriever Mix,Brown,0.25
18,0,Unknown,Labrador Retriever Mix,Brown,0.25
19,0,Unknown,Labrador Retriever Mix,Brown,0.25
20,0,Intact Male,Pit Bull Mix,White/Brown,0.25
21,0,Intact Female,Pit Bull Mix,White/Brown,0.25
22,0,Unknown,Pit Bull Mix,White/Brown,0.25
23,0,Intact Male,Pit Bull Mix,White/Brown,0.25
24,0,Intact Female,Pit Bull Mix,White/Brown,0.25
25,0,Intact Female,Pit Bull Mix,White/Brown,0.25
26,0,Intact Female,Pit Bull Mix,White/Brown,0.25
27,0,Intact Male,Pit Bull Mix,White/Brown,0.25
28,0,Intact Male,Chihuahua Shorthair Mix,Black/White,0.25
29,0,Intact Male,Chihuahua Shorthair Mix,Black/White,0.25
30,0,Intact Male,Chihuahua Shorthair Mix,Brown,0.25
31,0,Intact Female,Chihuahua Shorthair Mix,Brown,0.25
32,0,Intact Female,Chihuahua Shorthair Mix,Sable/White,0.25
33,0,Intact Male,Chihuahua Shorthair Mix,Sable/White,0.25
34,0,Unknown,Dachshund Mix,Black,0.25
35,0,Intact Male,Chihuahua Shorthair Mix,Black/White,0.25
36,0,Intact Male,Chihuahua Shorthair Mix,Sable,0.25
37,0,Intact Male,Chihuahua Shorthair Mix,Black/White,0.25
38,0,Intact Female,Chihuahua Shorthair Mix,Sable,0.25
39,0,Intact Female,Chihuahua Shorthair Mix,Black/White,0.25
40,0,Intact Male,Chihuahua Shorthair Mix,Black/White,0.25
41,0,Intact Female,Pit Bull Mix,Tan/White,0.25
42,0,Intact Female,Pit Bull Mix,Black/White,0.25
43,0,Unknown,Labrador Retriever Mix,White,0.25
44,0,Unknown,Anatol Shepherd Mix,Tricolor,0.25
45,0,Unknown,Anatol Shepherd Mix,Tricolor,0.25
46,0,Unknown,Labrador Retriever Mix,Brown/Black,0.25
47,0,Unknown,Labrador Retriever Mix,Black/White,0.25
48,0,Unknown,Labrador Retriever Mix,Black/Brown,0.25
49,0,Unknown,Labrador Retriever Mix,Sable,0.25
50,0,Unknown,Labrador Retriever Mix,Black/White,0.25
51,0,Intact Male,Chihuahua Shorthair Mix,Tricolor,0.25
